Unnamed: 0,Unnamed: 0.1,company,title,description,published date,url,publisher,Unnamed: 0.1.1
30,30,AMZN,Amazon Stock's (NASDAQ:AMZN) Valuation is Absurdly High. Is There Downside Ahead? - TipRanks.com - TipRanks,Amazon Stock's (NASDAQ:AMZN) Valuation is Absurdly High. Is There Downside Ahead? - TipRanks.com  TipRanks,"Tue, 20 Jun 2023 18:21:27 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL2FydGljbGUvYW1hem9uLXN0b2Nrcy1uYXNkYXFhbXpuLXZhbHVhdGlvbi1pcy1hYnN1cmRseS1oaWdoLWlzLXRoZXJlLWRvd25zaWRlLWFoZWFk0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.tipranks.com', 'title': 'TipRanks'}",
31,31,AMZN,Amazon Stock Gets A Surprising Price Target - TheStreet,Amazon Stock Gets A Surprising Price Target  TheStreet,"Mon, 26 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vaW52ZXN0aW5nL2FtYXpvbi1zdG9jay1nZXRzLWEtc3VycHJpc2luZy1wcmljZS10YXJnZXTSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",
32,32,AMZN,Amazon Settles With FTC Over Claims Ring Doorbell Spies on Users - Bloomberg,Amazon Settles With FTC Over Claims Ring Doorbell Spies on Users  Bloomberg,"Wed, 31 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTMxL2FtYXpvbi1zZXR0bGVzLXdpdGgtZnRjLW92ZXItY2xhaW1zLXJpbmctZG9vcmJlbGwtc3BpZXMtb24tdXNlcnPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",
33,33,AMZN,Amazon debuts its headquarters complex in Virginia as it brings workers back to office - The Associated Press,Amazon debuts its headquarters complex in Virginia as it brings workers back to office  The Associated Press,"Thu, 15 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2FtYXpvbi11bnZlaWxzLXZpcmdpbmlhLWhlYWRxdWFydGVycy0yMTY5NTdkODljOWUyM2YxOTMxZjE4YzUxNjgwOWZjNdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://apnews.com', 'title': 'The Associated Press'}",
34,34,AMZN,The F.T.C.’s Lina Khan Finally Begins to Take on Amazon - The New York Times,The F.T.C.’s Lina Khan Finally Begins to Take on Amazon  The New York Times,"Thu, 22 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDYvMjIvYnVzaW5lc3MvZGVhbGJvb2svZnRjLWxpbmEta2hhbi1hbWF6b24uaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}",
35,35,AMZN,"How Amazon is supporting employees and families during cancer diagnosis, treatment, and recovery - About Amazon","How Amazon is supporting employees and families during cancer diagnosis, treatment, and recovery  About Amazon","Thu, 29 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL3dvcmtwbGFjZS9ob3ctYW1hem9uLWlzLXN1cHBvcnRpbmctZW1wbG95ZWVzLWR1cmluZy1jYW5jZXItZGlhZ25vc2lz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",
36,36,AMZN,Inside Amazon's culture of inclusion for employees and communities - About Amazon,Inside Amazon's culture of inclusion for employees and communities  About Amazon,"Mon, 05 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL3dvcmtwbGFjZS9pbnNpZGUtYW1hem9ucy1jdWx0dXJlLW9mLWluY2x1c2lvbi1mb3ItZW1wbG95ZWVzLWN1c3RvbWVycy1hbmQtY29tbXVuaXRpZXPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",
37,37,AMZN,US telecom companies say not in talks with Amazon for wireless services - Reuters,US telecom companies say not in talks with Amazon for wireless services  Reuters,"Fri, 02 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL21lZGlhLXRlbGVjb20vdXMtdGVsZWNvbS1zdG9ja3MtZmFsbC1yZXBvcnQtYW1hem9uLXRhbGtzLXdpcmVsZXNzLXNlcnZpY2VzLTIwMjMtMDYtMDIv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}",
38,38,AMZN,Is Amazon Stock a Buy? - The Motley Fool,Is Amazon Stock a Buy?  The Motley Fool,"Mon, 26 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIzLzA2LzI2L2lzLWFtYXpvbi1zdG9jay1hLWJ1eS_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",
39,39,AMZN,Amazon (and Other Platforms) vs. Third-Party Sellers: Complicated Debate - UCLA,Amazon (and Other Platforms) vs. Third-Party Sellers: Complicated Debate  UCLA,"Wed, 10 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vYW5kZXJzb24tcmV2aWV3LnVjbGEuZWR1L2FtYXpvbi1hbmQtb3RoZXItcGxhdGZvcm1zLXZzLXRoaXJkLXBhcnR5LXNlbGxlcnMtY29tcGxpY2F0ZWQtZGViYXRlL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://anderson-review.ucla.edu', 'title': 'UCLA'}",
